#conf_AA #conf_AC #expected_count #miss_probability
4 116 4.9 0.0074
50 4 4.9 0.0076
3 211 4.9 0.0077
145 1 4.8 0.0079
1 547 4.8 0.0082
1 265 4.8 0.0082
31 13 4.8 0.0083
33 4 4.8 0.0084
3 300 4.8 0.0084
29 3 4.8 0.0086
91 1 4.8 0.0086
1 121 4.8 0.0086
50 6 4.7 0.0086
2 83 4.7 0.0088
57 8 4.7 0.0091
63 7 4.7 0.0094
12 6 4.7 0.0094
64 1 4.7 0.0094
335 1 4.7 0.0094
1 220 4.7 0.0094
51 9 4.7 0.0094
40 8 4.7 0.0096
4 143 4.6 0.0098
17 3 4.6 0.0098
1 66 4.6 0.0099
