#conf_AA #conf_AA #expected_count #miss_probability
513 1 5.8 0.0031
47 4 5.8 0.0031
38 5 5.7 0.0033
3 255 5.7 0.0033
35 6 5.7 0.0034
50 28 5.7 0.0034
20 7 5.7 0.0034
2 58 5.7 0.0034
280 1 5.7 0.0035
82 3 5.6 0.0036
249 1 5.6 0.0036
29 5 5.6 0.0037
896 1 5.6 0.0038
40 4 5.6 0.0038
58 2 5.5 0.0039
4 42 5.5 0.0039
4 164 5.5 0.0040
1 687 5.5 0.0040
388 1 5.5 0.0041
244 3 5.5 0.0041
1 361 5.5 0.0042
70 3 5.5 0.0042
241 1 5.5 0.0043
2 46 5.5 0.0043
25 28 5.5 0.0043
1 509 5.4 0.0043
6 28 5.4 0.0044
1 744 5.4 0.0044
20 9 5.4 0.0044
31 28 5.4 0.0044
3 65 5.4 0.0045
33 7 5.4 0.0045
2 132 5.4 0.0045
44 5 5.4 0.0045
2 164 5.4 0.0046
40 6 5.4 0.0047
100 6 5.3 0.0048
606 1 5.3 0.0049
84 3 5.3 0.0050
54 2 5.3 0.0051
3 261 5.3 0.0051
2 154 5.2 0.0053
24 28 5.2 0.0054
44 6 5.2 0.0054
42 6 5.2 0.0054
239 1 5.2 0.0054
3 147 5.2 0.0056
63 4 5.2 0.0056
1 347 5.2 0.0056
3 36 5.1 0.0058
15 5 5.1 0.0058
2 48 5.1 0.0059
9 28 5.1 0.0060
100 5 5.1 0.0061
510 1 5.1 0.0062
609 1 5.0 0.0065
3 120 5.0 0.0065
7 28 5.0 0.0067
62 4 5.0 0.0069
37 2 5.0 0.0070
50 7 5.0 0.0071
69 5 4.9 0.0072
1361 1 4.9 0.0072
1 842 4.9 0.0073
2 103 4.9 0.0073
1 182 4.9 0.0074
21 28 4.9 0.0074
267 1 4.9 0.0074
2 94 4.9 0.0075
75 6 4.9 0.0075
33 9 4.9 0.0078
308 1 4.8 0.0082
163 1 4.8 0.0083
4 228 4.8 0.0084
46 4 4.8 0.0085
763 1 4.8 0.0085
25 7 4.8 0.0086
2 184 4.7 0.0087
1 313 4.7 0.0087
48 2 4.7 0.0089
4 142 4.7 0.0089
14 2 4.7 0.0090
12 28 4.7 0.0091
6 20 4.7 0.0091
1 547 4.7 0.0092
1 608 4.7 0.0092
1 784 4.7 0.0092
1 663 4.7 0.0092
7 6 4.7 0.0095
47 5 4.7 0.0095
1 1021 4.6 0.0097
1 294 4.6 0.0097
